robinson	0	0.00331126
robinson	1	0.00331126
robinson	2	0.00331126
robinson	3	0.0332226
kimball	0	0.00331126
kimball	1	0.00331126
kimball	2	0.00331126
kimball	3	0.0332226
pitches	0	0.00331126
pitches	1	0.00331126
pitches	2	0.00331126
pitches	3	0.0797342
cardinals	0	0.00331126
cardinals	1	0.00331126
cardinals	2	0.00331126
cardinals	3	0.0431894
sherri	0	0.00331126
sherri	1	0.00331126
sherri	2	0.00331126
sherri	3	0.0498339
indians	0	0.00331126
indians	1	0.00331126
indians	2	0.00331126
indians	3	0.0431894
tigers	0	0.00331126
tigers	1	0.00331126
tigers	2	0.00331126
tigers	3	0.0531561
dodgers	0	0.00331126
dodgers	1	0.00331126
dodgers	2	0.00331126
dodgers	3	0.0531561
expos	0	0.00331126
expos	1	0.00331126
expos	2	0.00331126
expos	3	0.0498339
reds	0	0.00331126
reds	1	0.00331126
reds	2	0.00331126
reds	3	0.0564784
winfield	0	0.00331126
winfield	1	0.00331126
winfield	2	0.00331126
winfield	3	0.0498339
braves	0	0.00331126
braves	1	0.00331126
braves	2	0.00331126
braves	3	0.0996678
alomar	0	0.00331126
alomar	1	0.00331126
alomar	2	0.00331126
alomar	3	0.0498339
rookie	0	0.00331126
rookie	1	0.00331126
rookie	2	0.00331126
rookie	3	0.0365449
mssnetcomcom	0	0.00331126
mssnetcomcom	1	0.00331126
mssnetcomcom	2	0.00331126
mssnetcomcom	3	0.0498339
pitched	0	0.00331126
pitched	1	0.00331126
pitched	2	0.00331126
pitched	3	0.0332226
scored	0	0.00331126
scored	1	0.00331126
scored	2	0.00331126
scored	3	0.0498339
hits	0	0.00331126
hits	1	0.00331126
hits	2	0.00331126
hits	3	0.0730897
wins	0	0.00331126
wins	1	0.00331126
wins	2	0.00331126
wins	3	0.0398671
batters	0	0.00331126
batters	1	0.00331126
batters	2	0.00331126
batters	3	0.0498339
pitcher	0	0.00331126
pitcher	1	0.00331126
pitcher	2	0.00331126
pitcher	3	0.0830565
batter	0	0.00331126
batter	1	0.00331126
batter	2	0.00331126
batter	3	0.0332226
tate	0	0.00331126
tate	1	0.00331126
tate	2	0.00331126
tate	3	0.0431894
pitching	0	0.00331126
pitching	1	0.00331126
pitching	2	0.00331126
pitching	3	0.122924
pitchers	0	0.00331126
pitchers	1	0.00331126
pitchers	2	0.00662252
pitchers	3	0.10299
croats	0	0.00331126
croats	1	0.00331126
croats	2	0.0331126
croats	3	0.00332226
fresh	0	0.00331126
fresh	1	0.00331126
fresh	2	0.0264901
fresh	3	0.00996678
condemening	0	0.00331126
condemening	1	0.00331126
condemening	2	0.0364238
condemening	3	0.00332226
senate	0	0.00331126
senate	1	0.00331126
senate	2	0.0364238
senate	3	0.00332226
phillies	0	0.00331126
phillies	1	0.00331126
phillies	2	0.00331126
phillies	3	0.0398671
biden	0	0.00331126
biden	1	0.00331126
biden	2	0.0331126
biden	3	0.00332226
wade	0	0.00331126
wade	1	0.00331126
wade	2	0.00662252
wade	3	0.0299003
teams	0	0.00331126
teams	1	0.00331126
teams	2	0.00662252
teams	3	0.089701
relief	0	0.00331126
